Ecole_BID,Chaires
B00604625,"Chaire Entrepreneuriat Social,,,"
B00604934,",,,"
B00690884,"Chaire Media & Entertainement,,,"
B00684970,",,,"
B00543923,"ESSEC Chaires et Filières,Filière Agri Food,,"
B00684592,",,,"
B00547490,"Chaire Digital Disruption,Filière Agri Food,,"
B00603026,",,,"
B00574016,",,,"
B00694257,",,,"
B00684979,"ESSEC Chaires et Filières,Filière conseil en stratégie,,"
B00550791,",,,"
B00675480,"Ch Mgmt Savoir-Faire Exception,,,"
B00689901,"Chaire Digital Disruption,,,"
B00549846,",,,"
B00606656,"ESSEC Chaires et Filières,Fil Business Analytics Methods,,"
B00667334,",,,"
B00693841,"Filière conseil en stratégie,Filière Entrepreneuriat,,"
B00699008,"ESSEC Chaires et Filières,,,"
B00605893,"ESSEC Chaires et Filières,,,"
B00684656,",,,"
B00693318,"Chaire Economie Urbaine,,,"
B00695709,",,,"
B00684614,"Chaire Entrepreneuriat Social,,,"
B00604641,"Accenture Bus Analytics Chair,,,"
B00529255,"ESSEC Chaires et Filières,,,"
B00692057,"Accenture Bus Analytics Chair,ESSEC Chaires et Filières,Filière Négoc Gouvernance Int,"
B00605254,",,,"
B00633347,"Chaire Com. & Strat. de marque,,,"
B00694816,",,,"
B00693716,"Chaire ESSEC Santé,,,"
B00696611,",,,"
B00676605,"Accenture Bus Analytics Chair,ESSEC Chaires et Filières,,"
B00699656,"Chaire ESSEC Santé,,,"
B00684515,"Accenture Bus Analytics Chair,Chaire Digital Disruption,,"
B00684624,"Chaire Immob. Dévt. durable,ESSEC Chaires et Filières,,"
B00696281,"Chaire Digital Disruption,,,"
B00460139,"Filière conseil en stratégie,,,"
B00684506,"Filière conseil en stratégie,,,"
B00693494,"Chaire Immob. Dévt. durable,ESSEC Chaires et Filières,,"
B00674790,"Chaire Entrepreneuriat Social,Filière Agri Food,,"
B00693755,"Accenture Bus Analytics Chair,Filière Agri Food,,"
B00700228,"ESSEC Chaires et Filières,,,"
B00526954,"Chaire Media & Entertainement,,,"
B00604429,",,,"
B00604774,"ESSEC Chaires et Filières,,,"
B00691652,",,,"
B00686707,",,,"
B00692033,",,,"
B00688832,",,,"
B00604671,"Chaire LVMH,,,"
B00602673,"Chaire Immob. Dévt. durable,,,"
B00603463,",,,"
B00684960,"Chaire LVMH,,,"
B00690062,",,,"
B00606946,",,,"
B00697738,"ESSEC Chaires et Filières,,,"
B00684510,"ESSEC Chaires et Filières,,,"
B00603285,"Chaire Economie Urbaine,,,"
B00697762,"Chaire Grande Consommation,,,"
B00529581,",,,"
B00684728,"ESSEC Chaires et Filières,,,"
B00684546,",,,"
B00603034,",,,"
B00693660,",,,"
B00684686,",,,"
B00684972,",,,"
B00685005,"ESSEC Chaires et Filières,,,"
B00684930,"Chaire Media & Entertainement,,,"
B00697945,"ESSEC Chaires et Filières,,,"
B00684615,",,,"
B00684565,"Chaire LVMH,,,"
B00530633,"Filière Agri Food,,,"
B00697780,",,,"
B00664536,"Filière Sport Business,,,"
B00683544,",,,"
B00529871,",,,"
B00695916,"Filière Agri Food,,,"
B00691658,"Accenture Bus Analytics Chair,,,"
B00528901,"Ch Mgmt Savoir-Faire Exception,Filière Négoc Gouvernance Int,,"
B00683453,"Chaire Entrepreneuriat Social,,,"
B00685328,"Chaire LVMH,,,"
B00696031,",,,"
B00603237,",,,"
B00528473,"Chaire Media & Entertainement,,,"
B00696205,"Chaire Grande Consommation,,,"
B00684685,",,,"
B00697699,",,,"
B00681490,"Chair Therapeutic Innovation,,,"
B00604024,"ESSEC Chaires et Filières,,,"
B00747794,"Accenture Bus Analytics Chair,ESSEC Chaires et Filières,Filière Agri Food,"
B00695963,"Chaire Digital Disruption,Filière conseil en stratégie,,"
B00531597,"Chaire Digital Disruption,Chaire Grande Consommation,,"
B00606200,",Filière Négoc Gouvernance Int,,"
B00691834,"ESSEC Chaires et Filières,Filière Economie,,"
B00604368,",,,"
B00696732,",,,"
B00711947,",,,"
B00693477,"Chair Therapeutic Innovation,,,"
B00682349,",,,"
B00605824,",,,"
B00606807,",,,"
B00693661,"ESSEC Chaires et Filières,,,"
B00605299,"Chaire Immob. Dévt. durable,,,"
B00676639,",,,"
B00728185,",,,"
B00703829,",,,"
B00691253,",,,"
B00690448,",,,"
B00603706,"ESSEC Chaires et Filières,,,"
B00699704,"Filière Agri Food,,,"
B00605184,",,,"
B00684603,"Accenture Bus Analytics Chair,,,"
B00688902,"Chaire Media & Entertainement,Filière Agri Food,,"
B00697171,",,,"
B00684884,"Chaire Grande Consommation,Filière B2B Relationship Mgmt,,"
B00606439,"Filière Agri Food,,,"
B00688508,",,,"
B00697803,"Filière Agri Food,,,"
B00697179,"Filière Sport Business,,,"
B00605091,",,,"
B00604291,"Accenture Bus Analytics Chair,,,"
B00676459,"Chaire Grande Consommation,Cursus Expertise Comptable,,"
B00684834,"ESSEC Chaires et Filières,,,"
B00688572,"Accenture Bus Analytics Chair,ESSEC Chaires et Filières,,"
B00684563,",,,"
B00723329,"Chaire Grande Consommation,,,"
B00691131,",,,"
